Response ID,Time Started,Date Submitted,Status,Language,Country,Link Name,I consider myself:,WiFi Router:Check all the internet connected devices you currently own:,Laptop computer:Check all the internet connected devices you currently own:,Smart phone:Check all the internet connected devices you currently own:,Smart TV:Check all the internet connected devices you currently own:,Activity Tracker (ex: Fitbit or Apple Watch):Check all the internet connected devices you currently own:,"Smarthome Hub (ex. Amazon Echo, Google Alexa):Check all the internet connected devices you currently own:",Car that connects to the internet:Check all the internet connected devices you currently own:,Smart Thermostat (ex: Nest):Check all the internet connected devices you currently own:,"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge):Check all the internet connected devices you currently own:",Smart Door Locks (ex. Door locks for your home you can open via bluetooth):Check all the internet connected devices you currently own:,"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs):Check all the internet connected devices you currently own:",Thinking about a future in which so much of your world is connected to the internet leaves you feeling:,What are you most excited about as we move toward a more digitally connected future?,What is your biggest fear as we move towards a more connected future?,"Who is most responsible for protecting the online safety, privacy, and security of the connected apps and devices you own?","Who do you most trust to help you learn how to protect your safety, security and privacy online?",Price,Feature,Safety,Security,Privacy,Reliability,UserReviews,ExpertRecommendation,FriendorFamilyRecommendation,Convenience,IoT:Check all the terms below that you could explain to a friend:,Connected Devices:Check all the terms below that you could explain to a friend:,Botnet:Check all the terms below that you could explain to a friend:,Blockchain:Check all the terms below that you could explain to a friend:,RFID:Check all the terms below that you could explain to a friend:,DDOS:Check all the terms below that you could explain to a friend:,Zero Day:Check all the terms below that you could explain to a friend:,VPN:Check all the terms below that you could explain to a friend:,TOR:Check all the terms below that you could explain to a friend:,I donâ€™t know what any of these things are:Check all the terms below that you could explain to a friend:,Country or Region (optional)
1,6/19/17 15:29,6/19/17 15:29,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,Car that connects to the internet,Smart Thermostat (ex: Nest),,Smart Door Locks (ex. Door locks for your home you can open via bluetooth),"Smart Lighting (ex. Connected lighting switches, dimmers, or bulbs)",Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,None of the above,The loss of privacy,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,My friends and family,4,1,8,10,9,6,3,7,2,5,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,TOR,,United States
2,7/10/17 13:10,7/10/17 13:10,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,Smart Thermostat (ex: Nest),"Smart Appliance (ex. Coffeemaker, Refrigerator, Oven, Fridge)",Smart Door Locks (ex. Door locks for your home you can open via bluetooth),,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,None of the above,Weâ€™ll lose touch with one another,Itâ€™s up to me to protect myself online,My friends and family,2,3,10,9,8,5,4,7,1,6,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,United States
3,7/20/17 7:21,7/20/17 7:21,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,I have no fears about a more connected future,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,The media,2,1,8,9,10,4,5,3,6,7,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,,,United States
4,7/20/17 9:34,7/20/17 9:34,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How it will bring the world together,The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,6,8,9,5,4,10,3,1,2,7,IoT,Connected Devices,,Blockchain,,DDOS,,VPN,TOR,,United States
5,7/20/17 9:35,7/20/17 9:35,Complete,English,Canada,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,On the fence.  Iâ€™m not sure about all this. I think Iâ€™ll wait and see.,None of the above,The loss of privacy,The government should create policies and rules to ensure these devices are safe and secure,Non-profit organizations like Mozilla and Consumer Reports,7,3,5,4,6,10,1,2,9,8,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,TOR,,Canada
6,7/20/17 9:36,7/20/17 9:36,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,I have no fears about a more connected future,I honestly donâ€™t know,I just donâ€™t know who to trust,1,2,8,9,10,4,7,3,6,5,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,,,United States
7,7/20/17 9:37,7/20/17 9:37,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,Car that connects to the internet,Smart Thermostat (ex: Nest),,Smart Door Locks (ex. Door locks for your home you can open via bluetooth),,Scared as hell. The future where everything is connected has me scared senseless. Weâ€™re all doomed!,How it will bring the world together,Other (please specify),The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,My friends and family,1,3,10,9,8,5,4,7,2,6,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,,United States
8,7/20/17 9:39,7/20/17 9:39,Complete,English,Canada,Default Link,Average User:   I know enough to get by.,WiFi Router,Laptop computer,Smart phone,,,,,,,,,A little wary. All this being connected to the internet in every part of our lives makes me a little nervous. Whatâ€™s going to happen to our privacy?,How it will make us all smarter and better educated,Weâ€™ll lose touch with one another,The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,5,3,4,7,6,8,1,10,2,9,IoT,Connected Devices,,,RFID,DDOS,,VPN,,,Canada
9,7/20/17 10:03,7/20/17 10:03,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,Smart TV,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How much fun it will be,I have no fears about a more connected future,I honestly donâ€™t know,I just donâ€™t know who to trust,1,2,8,9,10,4,7,3,6,5,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,,,United States
10,7/20/17 14:17,7/20/17 14:17,Complete,English,United States,Default Link,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, Iâ€™m the one they call.",WiFi Router,Laptop computer,Smart phone,,,,,,,,,Cautiously optimistic. Iâ€™m hopeful weâ€™re building a better world by becoming more connected in everything we do.,How it will bring the world together,Other (please specify),The makers of those apps and devices should build safety and privacy into their productsâ€™ features.,Non-profit organizations like Mozilla and Consumer Reports,1,2,7,3,4,10,6,9,5,8,IoT,Connected Devices,Botnet,,RFID,DDOS,Zero Day,VPN,TOR,,United States
